budget,revenue,popularity,runtime,vote_average,title,genres,primary_genre,success,profit,roi
57755036,107323371,60.3773601820793,98,6.611888117846714,Movie 1,Romance,Romance,1,49568335,85.82513047000785
192100010,342896533,86.28985701546246,96,7.184686968985837,Movie 2,Drama,Drama,1,150796523,78.49896676215687
128521863,253206827,86.99532434251914,148,3.5429778665752005,Movie 3,Comedy,Comedy,1,124684964,97.01459431847795
156299516,89635602,72.71009622662443,118,5.985175896164717,Movie 4,Drama,Drama,0,-66663914,-42.651388632579
148532820,221133868,74.82958452853647,161,4.578480179545145,Movie 5,Comedy,Comedy,1,72601048,48.878791906058204
134224038,270524761,56.234817069919366,150,7.346318135988268,Movie 6,Romance,Romance,1,136300723,101.54717815895242
36788921,73368473,58.88214092641665,160,4.137333051221643,Movie 7,Adventure,Adventure,1,36579552,99.43089116421761
134120466,332939335,14.231407559641282,118,8.353427493228638,Movie 8,Action,Action,1,198818869,148.23902341645606
161953558,346179511,44.94205965370881,115,5.585648019109962,Movie 9,Horror,Horror,1,184225953,113.75233448097511
94410762,281375537,45.626852104750014,119,4.188018181845321,Movie 10,Horror,Horror,1,186964775,198.0333290816994
92090292,111395762,95.89128573110628,124,5.628130778101976,Movie 11,Action,Action,1,19305470,20.96363208404204
166850211,233236168,43.677599399705656,83,5.452462576851167,Movie 12,Horror,Horror,1,66385957,39.78775729567402
77737383,113466874,55.38492184537301,104,5.573513756962262,Movie 13,Horror,Horror,1,35729491,45.961787779760996
89358551,148740169,53.79188852863115,148,6.513367760984681,Movie 14,,,1,59381618,66.45320155202606
112190146,290571935,64.03940998738838,109,6.127042349481226,Movie 15,Adventure,Adventure,1,178381789,158.99951587548517
89409749,97410154,75.07505030185769,155,3.898662790085416,Movie 16,Drama,Drama,1,8000405,8.948023106518283
140199233,342086201,23.27914574091634,147,3.393474435879818,Movie 17,Animation,Animation,1,201886968,144.0000516978577
149171095,225736957,53.343717490745135,167,7.376492692359243,Movie 18,Action,Action,1,76565862,51.32754572861451
86652971,173707878,82.76585302428701,108,6.358304615569881,Movie 19,Romance,Romance,1,87054907,100.4638456077865
5521373,11491917,46.84835666991364,152,5.154004608475582,Movie 20,Comedy,Comedy,1,5970544,108.13513233030987
107683173,154215397,28.56729709098373,147,7.850146934988443,Movie 21,Horror,Horror,1,46532224,43.21215906221486
4344769,7740371,65.81619846027361,130,5.328350845565742,Movie 22,,,1,3395602,78.15379828018474
107328085,164488655,82.55297218411317,103,7.775790537603645,Movie 23,Thriller,Thriller,1,57160570,53.257793614784056
31349564,21092988,7.250888999811741,93,4.834536765074248,Movie 24,Horror,Horror,0,-10256576,-32.7168058860404
100052376,159374777,77.90225785731549,148,3.4370717852711987,Movie 25,Comedy,Comedy,1,59322401,59.29134656432347
178077808,132397908,82.34314536321534,97,8.595838162799573,Movie 26,Science Fiction,Science Fiction,0,-45679900,-25.651652226087602
107406362,162457707,46.69076983127207,121,5.367306775688239,Movie 27,Drama,Drama,1,55051345,51.255199389399294
107777086,213646086,98.34726002502828,136,7.756155437096267,Movie 28,Adventure,Adventure,1,105869000,98.22959956441947
63250665,123246276,78.8841257300236,162,4.674864799333827,Movie 29,Animation,Animation,1,59995611,94.85372367231237
182009883,392513995,77.59259392467091,91,6.878190672741936,Movie 30,Science Fiction,Science Fiction,1,210504112,115.65531966195483
156716283,115680715,75.0360188667951,161,8.239865239546369,Movie 31,Thriller,Thriller,0,-41035568,-26.184623074553144
195438926,416345129,15.910202218609124,96,3.249864134039882,Movie 32,Adventure,Adventure,1,220906203,113.03081096546754
80757501,103399493,22.50585775884807,109,7.983814588116536,Movie 33,Animation,Animation,1,22641992,28.037014171599985
121716221,182284021,46.93502301497808,167,6.427998029831572,Movie 34,Science Fiction,Science Fiction,1,60567800,49.76148577600023
152079598,402245310,27.13643064598712,154,6.644830523451415,Movie 35,,,1,250165712,164.4965631747659
53286002,27845986,42.10885626107,178,6.138948004835896,Movie 36,Animation,Animation,0,-25440016,-47.742399589295516
33049003,65140628,88.95794688236914,102,8.246850619701855,Movie 37,Science Fiction,Science Fiction,1,32091625,97.10315618295657
62136438,124073104,82.60836229604766,160,3.260600143413825,Movie 38,Animation,Animation,1,61936666,99.67849460569336
197412659,294470482,63.37394796951824,80,4.5661703492150885,Movie 39,Animation,Animation,1,97057823,49.16494387525574
129482111,141468223,85.95391903085925,158,8.254575233154931,Movie 40,Science Fiction,Science Fiction,1,11986112,9.25696368975634
126683192,137664736,78.59346651270768,111,7.514074215191735,Movie 41,Romance,Romance,1,10981544,8.668509078931324
194466162,526862150,43.46950825224816,88,3.105870961071635,Movie 42,Animation,Animation,1,332395988,170.92741718222422
196524628,315434003,20.90545005294457,94,6.102037699258252,Movie 43,Action,Action,1,118909375,60.506093414409115
56831368,75427921,51.90590296092458,107,6.177436084276049,Movie 44,Action,Action,1,18596553,32.722339184233604
11959014,19396850,73.88665937032646,103,5.405292810767462,Movie 45,Horror,Horror,1,7437836,62.19439161121477
57972561,126001970,44.20554027422971,139,4.784359992371938,Movie 46,Adventure,Adventure,1,68029409,117.34760001373755
49900483,43133549,67.01041906860583,114,7.090349102474052,Movie 47,Romance,Romance,0,-6766934,-13.560858719543855
21193880,34410056,10.33841520281332,165,4.246742788228523,Movie 48,Drama,Drama,1,13216176,62.358454421748164
121826171,239962340,75.05246890076894,106,7.793691372430237,Movie 49,Romance,Romance,1,118136169,96.97109252493867
4385357,12592370,81.45864836941314,162,7.81822296460483,Movie 50,Animation,Animation,1,8207013,187.14583556139215
45738553,51744914,70.97694772227358,155,5.491568625436923,Movie 51,Horror,Horror,1,6006361,13.131943636258017
69574553,97274052,96.75909516511018,99,4.701288065457886,Movie 52,Romance,Romance,1,27699499,39.812686974790914
152063092,220247646,82.8385536886034,144,4.703269089544279,Movie 53,Adventure,Adventure,1,68184554,44.83964721695913
187375041,377344363,90.40627905977728,164,5.89374794397726,Movie 54,Horror,Horror,1,189969322,101.38453925675192
12392366,17248068,93.42353726230716,128,7.317475348496153,Movie 55,,,1,4855702,39.18300992724069
89883975,164827418,80.33345119550705,80,5.153212145963153,Movie 56,Thriller,Thriller,1,74943443,83.37798033520436
148697582,364974620,67.75162535864341,89,6.660260072746509,Movie 57,Action,Action,1,216277038,145.44758232854116
148405005,335909384,1.5661395547181396,126,5.294906763495566,Movie 58,Horror,Horror,1,187504379,126.34639849242282
69979792,113081858,47.11674956908934,138,4.8271391349083,Movie 59,Comedy,Comedy,1,43102066,61.59216077692828
38709731,102988804,57.54506756361374,175,3.1491570954947647,Movie 60,Thriller,Thriller,1,64279073,166.05404207019677
162156967,307344308,31.09899697235196,141,3.023484634412344,Movie 61,Action,Action,1,145187341,89.53506203652663
24027075,44444432,32.492340243443735,165,4.363246066992026,Movie 62,Thriller,Thriller,1,20417357,84.97645676804188
87191493,51047952,96.15478215530636,97,5.438437720805973,Movie 63,Adventure,Adventure,0,-36143541,-41.45305895840091
88796277,263434796,89.27937565507185,125,8.107567004172362,Movie 64,Drama,Drama,1,174638519,196.67324453253823
23335235,18841499,85.06872154466872,111,7.790905457582553,Movie 65,,,0,-4493736,-19.257299101551794
135489564,146034348,41.19516836890495,106,4.602991575527939,Movie 66,,,1,10544784,7.78272782691957
